ticker,year,record,pf,pa,expected,comp
htx,2002,"
  Record: 4-12-0, 4th	AFC South Division
   (Schedule and Results)
",Points For: 213 (13.3/g) 32nd of 32,Points Against: 356 (22.3/g) 20th of 32,Expected W-L: 3.7-12.3,"SRS: -9.44 (30th of 32), 
  SOS: -0.50
"
clt,2002,"
  Record: 10-6-0, 2nd	AFC South Division
   (Schedule and Results)
",Points For: 349 (21.8/g) 17th of 32,Points Against: 313 (19.6/g) 7th of 32,Expected W-L: 9.0-7.0,"SRS: 1.17 (15th of 32), 
  SOS: -1.08
"
jax,2002,"
  Record: 6-10-0, 3rd	AFC South Division
   (Schedule and Results)
",Points For: 328 (20.5/g) 21st of 32,Points Against: 315 (19.7/g) 9th of 32,Expected W-L: 8.4-7.6,"SRS: -0.20 (18th of 32), 
  SOS: -1.01
"
kan,2002,"
  Record: 8-8-0, 3rd	AFC West Division
   (Schedule and Results)
",Points For: 467 (29.2/g) 1st of 32,Points Against: 399 (24.9/g) 28th of 32,Expected W-L: 9.5-6.5,"SRS: 6.11 (4th of 32), 
  SOS: 1.86
"
ram,2002,"
  Record: 7-9-0, 2nd	NFC West Division
   (Schedule and Results)
",Points For: 316 (19.8/g) 23rd of 32,Points Against: 369 (23.1/g) 23rd of 32,Expected W-L: 6.5-9.5,"SRS: -3.34 (25th of 32), 
  SOS: -0.02
"
mia,2002,"
  Record: 9-7-0, 1st	AFC East Division
   (Schedule and Results)
",Points For: 378 (23.6/g) 12th of 32,Points Against: 301 (18.8/g) 4th of 32,Expected W-L: 10.1-5.9,"SRS: 6.06 (5th of 32), 
  SOS: 1.25
"
min,2002,"
  Record: 6-10-0, 2nd	NFC North Division
   (Schedule and Results)
",Points For: 390 (24.4/g) 8th of 32,Points Against: 442 (27.6/g) 30th of 32,Expected W-L: 6.8-9.2,"SRS: -3.01 (23rd of 32), 
  SOS: .24
"
nwe,2002,"
  Record: 9-7-0, 1st	AFC East Division
   (Schedule and Results)
",Points For: 381 (23.8/g) 10th of 32,Points Against: 346 (21.6/g) 17th of 32,Expected W-L: 8.9-7.1,"SRS: 4.03 (8th of 32), 
  SOS: 1.84
"
nor,2002,"
  Record: 9-7-0, 3rd	NFC South Division
   (Schedule and Results)
",Points For: 432 (27.0/g) 3rd of 32,Points Against: 388 (24.3/g) 26th of 32,Expected W-L: 9.0-7.0,"SRS: 2.43 (12th of 32), 
  SOS: -0.32
"
nyg,2002,"
  Record: 10-6-0, 2nd	NFC East Division
   (Schedule and Results)
",Points For: 320 (20.0/g) 22nd of 32,Points Against: 279 (17.4/g) 3rd of 32,Expected W-L: 9.3-6.7,"SRS: .83 (16th of 32), 
  SOS: -1.74
"
nyj,2002,"
  Record: 9-7-0, 1st	AFC East Division
   (Schedule and Results)
",Points For: 359 (22.4/g) 15th of 32,Points Against: 336 (21.0/g) 14th of 32,Expected W-L: 8.6-7.4,"SRS: 3.17 (10th of 32), 
  SOS: 1.73
"
rai,2002,"
  Record: 11-5-0, 1st	AFC West Division
   (Schedule and Results)
",Points For: 450 (28.1/g) 2nd of 32,Points Against: 304 (19.0/g) 6th of 32,Expected W-L: 11.5-4.5,"SRS: 10.64 (1st of 32), 
  SOS: 1.51
"
phi,2002,"
  Record: 12-4-0, 1st	NFC East Division
   (Schedule and Results)
",Points For: 415 (25.9/g) 4th of 32,Points Against: 241 (15.1/g) 2nd of 32,Expected W-L: 12.5-3.5,"SRS: 8.30 (3rd of 32), 
  SOS: -2.58
"
pit,2002,"
  Record: 10-5-1, 1st	AFC North Division
   (Schedule and Results)
",Points For: 390 (24.4/g) 8th of 32,Points Against: 345 (21.6/g) 16th of 32,Expected W-L: 9.2-6.8,"SRS: 2.70 (11th of 32), 
  SOS: -0.11
"
sdg,2002,"
  Record: 8-8-0, 3rd	AFC West Division
   (Schedule and Results)
",Points For: 333 (20.8/g) 20th of 32,Points Against: 367 (22.9/g) 22nd of 32,Expected W-L: 7.1-8.9,"SRS: -0.72 (20th of 32), 
  SOS: 1.40
"
sfo,2002,"
  Record: 10-6-0, 1st	NFC West Division
   (Schedule and Results)
",Points For: 367 (22.9/g) 13th of 32,Points Against: 351 (21.9/g) 18th of 32,Expected W-L: 8.4-7.6,"SRS: .64 (17th of 32), 
  SOS: -0.36
"
sea,2002,"
  Record: 7-9-0, 2nd	NFC West Division
   (Schedule and Results)
",Points For: 355 (22.2/g) 16th of 32,Points Against: 369 (23.1/g) 23rd of 32,Expected W-L: 7.6-8.4,"SRS: -1.25 (21st of 32), 
  SOS: -0.38
"
tam,2002,"
  Record: 12-4-0, 1st	NFC South Division
   (Schedule and Results)
",Points For: 346 (21.6/g) 18th of 32,Points Against: 196 (12.3/g) 1st of 32,Expected W-L: 12.7-3.3,"SRS: 8.80 (2nd of 32), 
  SOS: -0.57
"
oti,2002,"
  Record: 11-5-0, 1st	AFC South Division
   (Schedule and Results)
",Points For: 367 (22.9/g) 13th of 32,Points Against: 324 (20.3/g) 11th of 32,Expected W-L: 9.2-6.8,"SRS: 1.76 (13th of 32), 
  SOS: -0.92
"
was,2002,"
  Record: 7-9-0, 3rd	NFC East Division
   (Schedule and Results)
",Points For: 307 (19.2/g) 25th of 32,Points Against: 365 (22.8/g) 21st of 32,Expected W-L: 6.4-9.6,"SRS: -4.45 (26th of 32), 
  SOS: -0.83
"
crd,2003,"
  Record: 4-12-0, 4th	NFC West Division
   (Schedule and Results)
",Points For: 225 (14.1/g) 32nd of 32,Points Against: 452 (28.3/g) 32nd of 32,Expected W-L: 2.6-13.4,"SRS: -12.55 (32nd of 32), 
  SOS: 1.64
"
atl,2003,"
  Record: 5-11-0, 4th	NFC South Division
   (Schedule and Results)
",Points For: 299 (18.7/g) 20th of 32,Points Against: 422 (26.4/g) 30th of 32,Expected W-L: 4.9-11.1,"SRS: -7.42 (30th of 32), 
  SOS: .27
"
rav,2003,"
  Record: 10-6-0, 1st	AFC North Division
   (Schedule and Results)
",Points For: 391 (24.4/g) 8th of 32,Points Against: 281 (17.6/g) 6th of 32,Expected W-L: 11.0-5.0,"SRS: 6.26 (6th of 32), 
  SOS: -0.61
"
buf,2003,"
  Record: 6-10-0, 3rd	AFC East Division
   (Schedule and Results)
",Points For: 243 (15.2/g) 30th of 32,Points Against: 279 (17.4/g) 5th of 32,Expected W-L: 6.7-9.3,"SRS: -0.99 (19th of 32), 
  SOS: 1.26
"
car,2003,"
  Record: 11-5-0, 1st	NFC South Division
   (Schedule and Results)
",Points For: 325 (20.3/g) 15th of 32,Points Against: 304 (19.0/g) 10th of 32,Expected W-L: 8.6-7.4,"SRS: -0.93 (18th of 32), 
  SOS: -2.24
"
chi,2003,"
  Record: 7-9-0, 3rd	NFC North Division
   (Schedule and Results)
",Points For: 283 (17.7/g) 23rd of 32,Points Against: 346 (21.6/g) 22nd of 32,Expected W-L: 6.1-9.9,"SRS: -3.54 (24th of 32), 
  SOS: .40
"
cin,2003,"
  Record: 8-8-0, 2nd	AFC North Division
   (Schedule and Results)
",Points For: 346 (21.6/g) 13th of 32,Points Against: 384 (24.0/g) 28th of 32,Expected W-L: 7.0-9.0,"SRS: -2.40 (21st of 32), 
  SOS: -0.03
"
cle,2003,"
  Record: 5-11-0, 4th	AFC North Division
   (Schedule and Results)
",Points For: 254 (15.9/g) 29th of 32,Points Against: 322 (20.1/g) 12th of 32,Expected W-L: 5.8-10.2,"SRS: -2.91 (23rd of 32), 
  SOS: 1.34
"
dal,2003,"
  Record: 10-6-0, 2nd	NFC East Division
   (Schedule and Results)
",Points For: 289 (18.1/g) 21st of 32,Points Against: 260 (16.3/g) 2nd of 32,Expected W-L: 9.0-7.0,"SRS: -0.46 (16th of 32), 
  SOS: -2.27
"
den,2003,"
  Record: 10-6-0, 2nd	AFC West Division
   (Schedule and Results)
",Points For: 381 (23.8/g) 10th of 32,Points Against: 301 (18.8/g) 9th of 32,Expected W-L: 10.2-5.8,"SRS: 5.47 (8th of 32), 
  SOS: .47
"
det,2003,"
  Record: 5-11-0, 4th	NFC North Division
   (Schedule and Results)
",Points For: 270 (16.9/g) 26th of 32,Points Against: 379 (23.7/g) 25th of 32,Expected W-L: 4.9-11.1,"SRS: -5.84 (27th of 32), 
  SOS: .97
"
gnb,2003,"
  Record: 10-6-0, 1st	NFC North Division
   (Schedule and Results)
",Points For: 442 (27.6/g) 4th of 32,Points Against: 307 (19.2/g) 11th of 32,Expected W-L: 11.3-4.7,"SRS: 8.13 (2nd of 32), 
  SOS: -0.31
"
htx,2003,"
  Record: 5-11-0, 3rd	AFC South Division
   (Schedule and Results)
",Points For: 255 (15.9/g) 28th of 32,Points Against: 380 (23.8/g) 27th of 32,Expected W-L: 4.5-11.5,"SRS: -5.95 (28th of 32), 
  SOS: 1.86
"
clt,2003,"
  Record: 12-4-0, 1st	AFC South Division
   (Schedule and Results)
",Points For: 447 (27.9/g) 2nd of 32,Points Against: 336 (21.0/g) 20th of 32,Expected W-L: 10.6-5.4,"SRS: 6.97 (3rd of 32), 
  SOS: .03
"
jax,2003,"
  Record: 5-11-0, 3rd	AFC South Division
   (Schedule and Results)
",Points For: 276 (17.3/g) 25th of 32,Points Against: 331 (20.7/g) 18th of 32,Expected W-L: 6.3-9.7,"SRS: -2.42 (22nd of 32), 
  SOS: 1.01
"
kan,2003,"
  Record: 13-3-0, 1st	AFC West Division
   (Schedule and Results)
",Points For: 484 (30.3/g) 1st of 32,Points Against: 332 (20.8/g) 19th of 32,Expected W-L: 11.4-4.6,"SRS: 8.31 (1st of 32), 
  SOS: -1.19
"
ram,2003,"
  Record: 12-4-0, 1st	NFC West Division
   (Schedule and Results)
",Points For: 447 (27.9/g) 2nd of 32,Points Against: 328 (20.5/g) 17th of 32,Expected W-L: 10.8-5.2,"SRS: 5.86 (7th of 32), 
  SOS: -1.58
"
mia,2003,"
  Record: 10-6-0, 2nd	AFC East Division
   (Schedule and Results)
",Points For: 311 (19.4/g) 17th of 32,Points Against: 261 (16.3/g) 3rd of 32,Expected W-L: 9.6-6.4,"SRS: 3.43 (11th of 32), 
  SOS: .31
"
min,2003,"
  Record: 9-7-0, 2nd	NFC North Division
   (Schedule and Results)
",Points For: 416 (26.0/g) 6th of 32,Points Against: 353 (22.1/g) 23rd of 32,Expected W-L: 9.5-6.5,"SRS: 2.91 (13th of 32), 
  SOS: -1.03
"
nwe,2003,"
  Record: 14-2-0, 1st	AFC East Division
   (Schedule and Results)
",Points For: 348 (21.8/g) 12th of 32,Points Against: 238 (14.9/g) 1st of 32,Expected W-L: 11.4-4.6,"SRS: 6.94 (4th of 32), 
  SOS: .06
"
nor,2003,"
  Record: 8-8-0, 2nd	NFC South Division
   (Schedule and Results)
",Points For: 340 (21.3/g) 14th of 32,Points Against: 326 (20.4/g) 14th of 32,Expected W-L: 8.4-7.6,"SRS: -0.27 (15th of 32), 
  SOS: -1.14
"
nyg,2003,"
  Record: 4-12-0, 4th	NFC East Division
   (Schedule and Results)
",Points For: 243 (15.2/g) 30th of 32,Points Against: 387 (24.2/g) 29th of 32,Expected W-L: 4.0-12.0,"SRS: -8.56 (31st of 32), 
  SOS: .44
"
nyj,2003,"
  Record: 6-10-0, 3rd	AFC East Division
   (Schedule and Results)
",Points For: 283 (17.7/g) 23rd of 32,Points Against: 299 (18.7/g) 8th of 32,Expected W-L: 7.5-8.5,"SRS: -0.57 (17th of 32), 
  SOS: .43
"
rai,2003,"
  Record: 4-12-0, 3rd	AFC West Division
   (Schedule and Results)
",Points For: 270 (16.9/g) 26th of 32,Points Against: 379 (23.7/g) 25th of 32,Expected W-L: 4.9-11.1,"SRS: -5.48 (25th of 32), 
  SOS: 1.34
"
phi,2003,"
  Record: 12-4-0, 1st	NFC East Division
   (Schedule and Results)
",Points For: 374 (23.4/g) 11th of 32,Points Against: 287 (17.9/g) 7th of 32,Expected W-L: 10.4-5.6,"SRS: 4.40 (9th of 32), 
  SOS: -1.03
"
pit,2003,"
  Record: 6-10-0, 3rd	AFC North Division
   (Schedule and Results)
",Points For: 300 (18.8/g) 19th of 32,Points Against: 327 (20.4/g) 15th of 32,Expected W-L: 7.2-8.8,"SRS: -1.08 (20th of 32), 
  SOS: .61
"
sdg,2003,"
  Record: 4-12-0, 3rd	AFC West Division
   (Schedule and Results)
",Points For: 313 (19.6/g) 16th of 32,Points Against: 441 (27.6/g) 31st of 32,Expected W-L: 4.9-11.1,"SRS: -6.80 (29th of 32), 
  SOS: 1.20
"
sfo,2003,"
  Record: 7-9-0, 3rd	NFC West Division
   (Schedule and Results)
",Points For: 384 (24.0/g) 9th of 32,Points Against: 337 (21.1/g) 21st of 32,Expected W-L: 9.2-6.8,"SRS: 3.08 (12th of 32), 
  SOS: .14
"
sea,2003,"
  Record: 10-6-0, 2nd	NFC West Division
   (Schedule and Results)
",Points For: 404 (25.3/g) 7th of 32,Points Against: 327 (20.4/g) 15th of 32,Expected W-L: 10.0-6.0,"SRS: 4.08 (10th of 32), 
  SOS: -0.73
"
tam,2003,"
  Record: 7-9-0, 3rd	NFC South Division
   (Schedule and Results)
",Points For: 301 (18.8/g) 18th of 32,Points Against: 264 (16.5/g) 4th of 32,Expected W-L: 9.2-6.8,"SRS: 1.60 (14th of 32), 
  SOS: -0.71
"
oti,2003,"
  Record: 12-4-0, 1st	AFC South Division
   (Schedule and Results)
",Points For: 435 (27.2/g) 5th of 32,Points Against: 324 (20.3/g) 13th of 32,Expected W-L: 10.7-5.3,"SRS: 6.47 (5th of 32), 
  SOS: -0.47
"
was,2003,"
  Record: 5-11-0, 3rd	NFC East Division
   (Schedule and Results)
",Points For: 287 (17.9/g) 22nd of 32,Points Against: 372 (23.3/g) 24th of 32,Expected W-L: 5.6-10.4,"SRS: -5.74 (26th of 32), 
  SOS: -0.43
"
crd,2004,"
  Record: 6-10-0, 3rd	NFC West Division
   (Schedule and Results)
",Points For: 284 (17.8/g) 26th of 32,Points Against: 322 (20.1/g) 12th of 32,Expected W-L: 6.8-9.2,"SRS: -4.87 (26th of 32), 
  SOS: -2.50
"
atl,2004,"
  Record: 11-5-0, 1st	NFC South Division
   (Schedule and Results)
",Points For: 340 (21.3/g) 16th of 32,Points Against: 337 (21.1/g) 14th of 32,Expected W-L: 8.1-7.9,"SRS: -2.20 (17th of 32), 
  SOS: -2.39
"
rav,2004,"
  Record: 9-7-0, 2nd	AFC North Division
   (Schedule and Results)
",Points For: 317 (19.8/g) 20th of 32,Points Against: 268 (16.8/g) 6th of 32,Expected W-L: 9.6-6.4,"SRS: 6.12 (7th of 32), 
  SOS: 3.06
"
buf,2004,"
  Record: 9-7-0, 3rd	AFC East Division
   (Schedule and Results)
",Points For: 395 (24.7/g) 7th of 32,Points Against: 284 (17.8/g) 8th of 32,Expected W-L: 11.0-5.0,"SRS: 8.05 (5th of 32), 
  SOS: 1.12
"
car,2004,"
  Record: 7-9-0, 3rd	NFC South Division
   (Schedule and Results)
",Points For: 355 (22.2/g) 13th of 32,Points Against: 339 (21.2/g) 15th of 32,Expected W-L: 8.4-7.6,"SRS: -0.65 (15th of 32), 
  SOS: -1.65
"
chi,2004,"
  Record: 5-11-0, 4th	NFC North Division
   (Schedule and Results)
",Points For: 231 (14.4/g) 32nd of 32,Points Against: 331 (20.7/g) 13th of 32,Expected W-L: 4.8-11.2,"SRS: -8.24 (31st of 32), 
  SOS: -1.99
"
cin,2004,"
  Record: 8-8-0, 3rd	AFC North Division
   (Schedule and Results)
",Points For: 374 (23.4/g) 10th of 32,Points Against: 372 (23.3/g) 21st of 32,Expected W-L: 8.1-7.9,"SRS: 2.67 (11th of 32), 
  SOS: 2.54
"
cle,2004,"
  Record: 4-12-0, 4th	AFC North Division
   (Schedule and Results)
",Points For: 276 (17.3/g) 27th of 32,Points Against: 390 (24.4/g) 24th of 32,Expected W-L: 4.9-11.1,"SRS: -3.39 (22nd of 32), 
  SOS: 3.74
"
dal,2004,"
  Record: 6-10-0, 2nd	NFC East Division
   (Schedule and Results)
",Points For: 293 (18.3/g) 25th of 32,Points Against: 405 (25.3/g) 27th of 32,Expected W-L: 5.1-10.9,"SRS: -7.77 (30th of 32), 
  SOS: -0.77
"
den,2004,"
  Record: 10-6-0, 2nd	AFC West Division
   (Schedule and Results)
",Points For: 381 (23.8/g) 9th of 32,Points Against: 304 (19.0/g) 9th of 32,Expected W-L: 10.1-5.9,"SRS: 5.86 (8th of 32), 
  SOS: 1.05
"
det,2004,"
  Record: 6-10-0, 3rd	NFC North Division
   (Schedule and Results)
",Points For: 296 (18.5/g) 24th of 32,Points Against: 350 (21.9/g) 18th of 32,Expected W-L: 6.4-9.6,"SRS: -5.17 (27th of 32), 
  SOS: -1.79
"
gnb,2004,"
  Record: 10-6-0, 1st	NFC North Division
   (Schedule and Results)
",Points For: 424 (26.5/g) 5th of 32,Points Against: 380 (23.8/g) 23rd of 32,Expected W-L: 9.0-7.0,"SRS: .30 (13th of 32), 
  SOS: -2.45
"
htx,2004,"
  Record: 7-9-0, 3rd	AFC South Division
   (Schedule and Results)
",Points For: 309 (19.3/g) 21st of 32,Points Against: 339 (21.2/g) 15th of 32,Expected W-L: 7.1-8.9,"SRS: -0.63 (14th of 32), 
  SOS: 1.24
"
clt,2004,"
  Record: 12-4-0, 1st	AFC South Division
   (Schedule and Results)
",Points For: 522 (32.6/g) 1st of 32,Points Against: 351 (21.9/g) 19th of 32,Expected W-L: 11.5-4.5,"SRS: 11.41 (2nd of 32), 
  SOS: .73
"
jax,2004,"
  Record: 9-7-0, 2nd	AFC South Division
   (Schedule and Results)
",Points For: 261 (16.3/g) 29th of 32,Points Against: 280 (17.5/g) 7th of 32,Expected W-L: 7.3-8.7,"SRS: .75 (12th of 32), 
  SOS: 1.94
"
kan,2004,"
  Record: 7-9-0, 3rd	AFC West Division
   (Schedule and Results)
",Points For: 483 (30.2/g) 2nd of 32,Points Against: 435 (27.2/g) 29th of 32,Expected W-L: 9.0-7.0,"SRS: 5.28 (10th of 32), 
  SOS: 2.28
"
ram,2004,"
  Record: 8-8-0, 2nd	NFC West Division
   (Schedule and Results)
",Points For: 319 (19.9/g) 19th of 32,Points Against: 392 (24.5/g) 25th of 32,Expected W-L: 6.1-9.9,"SRS: -5.99 (29th of 32), 
  SOS: -1.42
"
mia,2004,"
  Record: 4-12-0, 4th	AFC East Division
   (Schedule and Results)
",Points For: 275 (17.2/g) 28th of 32,Points Against: 354 (22.1/g) 20th of 32,Expected W-L: 5.7-10.3,"SRS: -2.23 (18th of 32), 
  SOS: 2.71
"
min,2004,"
  Record: 8-8-0, 2nd	NFC North Division
   (Schedule and Results)
",Points For: 405 (25.3/g) 6th of 32,Points Against: 395 (24.7/g) 26th of 32,Expected W-L: 8.2-7.8,"SRS: -1.69 (16th of 32), 
  SOS: -2.31
"
nwe,2004,"
  Record: 14-2-0, 1st	AFC East Division
   (Schedule and Results)
",Points For: 437 (27.3/g) 4th of 32,Points Against: 260 (16.3/g) 2nd of 32,Expected W-L: 12.4-3.6,"SRS: 12.84 (1st of 32), 
  SOS: 1.78
"
nor,2004,"
  Record: 8-8-0, 2nd	NFC South Division
   (Schedule and Results)
",Points For: 348 (21.8/g) 14th of 32,Points Against: 405 (25.3/g) 27th of 32,Expected W-L: 6.6-9.4,"SRS: -5.56 (28th of 32), 
  SOS: -1.99
"
nyg,2004,"
  Record: 6-10-0, 2nd	NFC East Division
   (Schedule and Results)
",Points For: 303 (18.9/g) 22nd of 32,Points Against: 347 (21.7/g) 17th of 32,Expected W-L: 6.7-9.3,"SRS: -3.91 (23rd of 32), 
  SOS: -1.16
"
nyj,2004,"
  Record: 10-6-0, 2nd	AFC East Division
   (Schedule and Results)
",Points For: 333 (20.8/g) 17th of 32,Points Against: 261 (16.3/g) 4th of 32,Expected W-L: 10.2-5.8,"SRS: 6.55 (6th of 32), 
  SOS: 2.05
"
rai,2004,"
  Record: 5-11-0, 4th	AFC West Division
   (Schedule and Results)
",Points For: 320 (20.0/g) 18th of 32,Points Against: 442 (27.6/g) 31st of 32,Expected W-L: 5.1-10.9,"SRS: -4.27 (24th of 32), 
  SOS: 3.35
"
phi,2004,"
  Record: 13-3-0, 1st	NFC East Division
   (Schedule and Results)
",Points For: 386 (24.1/g) 8th of 32,Points Against: 260 (16.3/g) 2nd of 32,Expected W-L: 11.5-4.5,"SRS: 5.55 (9th of 32), 
  SOS: -2.32
"
pit,2004,"
  Record: 15-1-0, 1st	AFC North Division
   (Schedule and Results)
",Points For: 372 (23.3/g) 11th of 32,Points Against: 251 (15.7/g) 1st of 32,Expected W-L: 11.5-4.5,"SRS: 9.00 (4th of 32), 
  SOS: 1.44
"
sdg,2004,"
  Record: 12-4-0, 1st	AFC West Division
   (Schedule and Results)
",Points For: 446 (27.9/g) 3rd of 32,Points Against: 313 (19.6/g) 11th of 32,Expected W-L: 11.2-4.8,"SRS: 9.12 (3rd of 32), 
  SOS: .81
"
sfo,2004,"
  Record: 2-14-0, 4th	NFC West Division
   (Schedule and Results)
",Points For: 259 (16.2/g) 30th of 32,Points Against: 452 (28.3/g) 32nd of 32,Expected W-L: 3.4-12.6,"SRS: -13.62 (32nd of 32), 
  SOS: -1.56
"
sea,2004,"
  Record: 9-7-0, 1st	NFC West Division
   (Schedule and Results)
",Points For: 371 (23.2/g) 12th of 32,Points Against: 373 (23.3/g) 22nd of 32,Expected W-L: 7.9-8.1,"SRS: -2.89 (20th of 32), 
  SOS: -2.77
"
tam,2004,"
  Record: 5-11-0, 4th	NFC South Division
   (Schedule and Results)
",Points For: 301 (18.8/g) 23rd of 32,Points Against: 304 (19.0/g) 9th of 32,Expected W-L: 7.9-8.1,"SRS: -2.68 (19th of 32), 
  SOS: -2.49
"
oti,2004,"
  Record: 5-11-0, 4th	AFC South Division
   (Schedule and Results)
",Points For: 344 (21.5/g) 15th of 32,Points Against: 439 (27.4/g) 30th of 32,Expected W-L: 5.8-10.2,"SRS: -4.39 (25th of 32), 
  SOS: 1.54
"
was,2004,"
  Record: 6-10-0, 2nd	NFC East Division
   (Schedule and Results)
",Points For: 240 (15.0/g) 31st of 32,Points Against: 265 (16.6/g) 5th of 32,Expected W-L: 7.1-8.9,"SRS: -3.37 (21st of 32), 
  SOS: -1.81
"
crd,2005,"
  Record: 5-11-0, 3rd	NFC West Division
   (Schedule and Results)
",Points For: 311 (19.4/g) 17th of 32,Points Against: 387 (24.2/g) 26th of 32,Expected W-L: 6.0-10.0,"SRS: -4.98 (24th of 32), 
  SOS: -0.23
"
atl,2005,"
  Record: 8-8-0, 3rd	NFC South Division
   (Schedule and Results)
",Points For: 351 (21.9/g) 14th of 32,Points Against: 341 (21.3/g) 18th of 32,Expected W-L: 8.3-7.7,"SRS: -1.23 (17th of 32), 
  SOS: -1.85
"
rav,2005,"
  Record: 6-10-0, 3rd	AFC North Division
   (Schedule and Results)
",Points For: 265 (16.6/g) 25th of 32,Points Against: 299 (18.7/g) 10th of 32,Expected W-L: 6.9-9.1,"SRS: -1.83 (18th of 32), 
  SOS: .29
"
buf,2005,"
  Record: 5-11-0, 3rd	AFC East Division
   (Schedule and Results)
",Points For: 271 (16.9/g) 24th of 32,Points Against: 367 (22.9/g) 24th of 32,Expected W-L: 5.2-10.8,"SRS: -5.85 (26th of 32), 
  SOS: .15
"
car,2005,"
  Record: 11-5-0, 1st	NFC South Division
   (Schedule and Results)
",Points For: 391 (24.4/g) 8th of 32,Points Against: 259 (16.2/g) 5th of 32,Expected W-L: 11.6-4.4,"SRS: 5.07 (9th of 32), 
  SOS: -3.18
"
chi,2005,"
  Record: 11-5-0, 1st	NFC North Division
   (Schedule and Results)
",Points For: 260 (16.3/g) 26th of 32,Points Against: 202 (12.6/g) 1st of 32,Expected W-L: 10.3-5.7,"SRS: 1.39 (14th of 32), 
  SOS: -2.23
"
cin,2005,"
  Record: 11-5-0, 1st	AFC North Division
   (Schedule and Results)
",Points For: 421 (26.3/g) 4th of 32,Points Against: 350 (21.9/g) 22nd of 32,Expected W-L: 9.7-6.3,"SRS: 3.82 (11th of 32), 
  SOS: -0.62
"
cle,2005,"
  Record: 6-10-0, 3rd	AFC North Division
   (Schedule and Results)
",Points For: 232 (14.5/g) 32nd of 32,Points Against: 301 (18.8/g) 11th of 32,Expected W-L: 5.6-10.4,"SRS: -4.22 (23rd of 32), 
  SOS: .09
"
dal,2005,"
  Record: 9-7-0, 3rd	NFC East Division
   (Schedule and Results)
",Points For: 325 (20.3/g) 15th of 32,Points Against: 308 (19.3/g) 12th of 32,Expected W-L: 8.5-7.5,"SRS: 3.16 (12th of 32), 
  SOS: 2.09
"
